
10 ; 0.249 ;0.266 ;0.300 ;0.341 ;0.359 ;0.384 ;0.444 ;0.475 ;0.502 ;
11 ; 0.255 ;0.289 ;0.329 ;0.361 ;0.407 ;0.424 ;0.496 ;0.525 ;0.572 ;
12 ; 0.279 ;0.319 ;0.361 ;0.406 ;0.444 ;0.477 ;0.554 ;0.603 ;0.655 ;
13 ; 0.299 ;0.338 ;0.396 ;0.451 ;0.487 ;0.544 ;0.637 ;0.677 ;0.761 ;
14 ; 0.332 ;0.389 ;0.439 ;0.495 ;0.548 ;0.594 ;0.721 ;0.754 ;0.842 ;
15 ; 0.365 ;0.418 ;0.500 ;0.558 ;0.622 ;0.668 ;0.797 ;0.858 ;0.949 ;
16 ; 0.408 ;0.466 ;0.546 ;0.623 ;0.691 ;0.744 ;0.910 ;0.969 ;1.056 ;
17 ; 0.449 ;0.523 ;0.621 ;0.693 ;0.788 ;0.878 ;1.045 ;1.123 ;1.233 ;
18 ; 0.513 ;0.626 ;0.730 ;0.799 ;0.888 ;0.957 ;1.140 ;1.264 ;1.348 ;
19 ; 0.581 ;0.661 ;0.831 ;0.966 ;1.160 ;1.283 ;1.592 ;1.682 ;1.564 ;
20 ; 0.794 ;0.923 ;0.903 ;1.067 ;1.336 ;1.441 ;1.569 ;1.538 ;1.698 ;
21 ; 0.727 ;1.063 ;0.980 ;1.116 ;1.280 ;1.386 ;1.646 ;1.922 ;2.133 ;
22 ; 0.823 ;0.920 ;1.115 ;1.245 ;1.357 ;1.456 ;1.772 ;1.874 ;2.104 ;
23 ; 0.919 ;1.035 ;1.225 ;1.354 ;1.535 ;1.662 ;1.989 ;2.115 ;2.313 ;
24 ; 1.041 ;1.195 ;1.383 ;1.509 ;1.731 ;1.819 ;2.206 ;2.322 ;2.542 ;
25 ; 1.173 ;1.323 ;1.529 ;1.757 ;1.917 ;2.127 ;2.405 ;2.593 ;2.857 ;
26 ; 1.335 ;1.494 ;1.731 ;1.934 ;2.120 ;2.290 ;2.670 ;2.849 ;3.118 ;
27 ; 1.492 ;1.656 ;1.926 ;2.131 ;2.390 ;2.550 ;2.988 ;3.207 ;3.460 ;
28 ; 1.672 ;1.867 ;2.180 ;2.371 ;2.634 ;2.829 ;3.335 ;3.524 ;3.830 ;
29 ; 1.920 ;2.121 ;2.467 ;2.630 ;2.923 ;3.157 ;3.645 ;3.846 ;4.244 ;
30 ; 2.142 ;7.637 ;8.192 ;8.809 ;3.260 ;8.692 ;4.028 ;4.307 ;4.632 ;
