
10 ; 0.214 ;0.223 ;0.265 ;0.322 ;0.345 ;0.308 ;0.397 ;0.432 ;0.453 ;
11 ; 0.225 ;0.248 ;0.291 ;0.330 ;0.382 ;0.396 ;0.454 ;0.467 ;0.505 ;
12 ; 0.255 ;0.281 ;0.326 ;0.365 ;0.405 ;0.421 ;0.489 ;0.529 ;0.588 ;
13 ; 0.277 ;0.300 ;0.358 ;0.373 ;0.442 ;0.466 ;0.563 ;0.564 ;0.727 ;
14 ; 0.281 ;0.322 ;0.364 ;0.398 ;0.467 ;0.521 ;0.679 ;0.658 ;0.632 ;
15 ; 0.275 ;0.307 ;0.353 ;0.404 ;0.445 ;0.485 ;0.580 ;0.616 ;0.684 ;
16 ; 0.270 ;0.319 ;0.387 ;0.429 ;0.489 ;0.534 ;0.643 ;0.671 ;0.772 ;
17 ; 0.293 ;0.331 ;0.418 ;0.472 ;0.554 ;0.595 ;0.715 ;0.751 ;0.868 ;
18 ; 0.312 ;0.355 ;0.445 ;0.494 ;0.582 ;0.626 ;0.770 ;0.791 ;0.957 ;
19 ; 0.313 ;0.389 ;0.486 ;0.558 ;0.628 ;0.715 ;0.854 ;0.921 ;1.029 ;
20 ; 0.347 ;0.414 ;0.513 ;0.602 ;0.680 ;0.737 ;0.899 ;0.960 ;1.125 ;
21 ; 0.361 ;0.433 ;0.557 ;0.622 ;0.737 ;0.796 ;0.981 ;1.077 ;1.214 ;
22 ; 0.392 ;0.473 ;0.614 ;0.694 ;0.798 ;0.875 ;1.074 ;1.144 ;1.330 ;
23 ; 0.442 ;0.504 ;0.656 ;0.744 ;0.884 ;0.946 ;1.183 ;1.308 ;1.462 ;
24 ; 0.458 ;0.540 ;0.686 ;0.803 ;0.925 ;1.004 ;1.344 ;1.369 ;1.514 ;
25 ; 0.493 ;0.588 ;0.730 ;0.861 ;1.027 ;1.078 ;1.338 ;1.469 ;1.657 ;
26 ; 0.503 ;0.610 ;0.778 ;0.911 ;1.087 ;1.260 ;1.469 ;1.656 ;1.813 ;
27 ; 0.531 ;0.657 ;0.829 ;0.992 ;1.167 ;1.277 ;1.603 ;1.745 ;1.966 ;
28 ; 0.556 ;0.689 ;0.917 ;1.077 ;1.257 ;1.349 ;1.722 ;1.821 ;2.138 ;
29 ; 0.601 ;0.744 ;0.981 ;1.171 ;1.354 ;1.473 ;1.920 ;1.991 ;2.324 ;
30 ; 0.655 ;0.820 ;1.127 ;1.365 ;1.423 ;1.559 ;1.939 ;2.077 ;2.450 ;
