
10 ; 0.040 ;0.051 ;0.071 ;0.086 ;0.103 ;0.112 ;0.151 ;0.158 ;0.187 ;
11 ; 0.045 ;0.063 ;0.084 ;0.106 ;0.126 ;0.140 ;0.179 ;0.203 ;0.237 ;
12 ; 0.055 ;0.072 ;0.101 ;0.120 ;0.150 ;0.167 ;0.216 ;0.236 ;0.275 ;
13 ; 0.061 ;0.081 ;0.124 ;0.141 ;0.178 ;0.197 ;0.259 ;0.281 ;0.327 ;
14 ; 0.070 ;0.098 ;0.140 ;0.172 ;0.203 ;0.232 ;0.305 ;0.328 ;0.381 ;
15 ; 0.081 ;0.111 ;0.163 ;0.197 ;0.243 ;0.278 ;0.353 ;0.377 ;0.454 ;
16 ; 0.097 ;0.127 ;0.192 ;0.229 ;0.288 ;0.313 ;0.408 ;0.431 ;0.516 ;
17 ; 0.116 ;0.155 ;0.218 ;0.271 ;0.323 ;0.355 ;0.494 ;0.527 ;0.650 ;
18 ; 0.134 ;0.178 ;0.254 ;0.297 ;0.366 ;0.419 ;0.546 ;0.611 ;0.703 ;
19 ; 0.152 ;0.205 ;0.289 ;0.342 ;0.404 ;0.444 ;0.657 ;0.754 ;0.803 ;
20 ; 0.171 ;0.225 ;0.327 ;0.381 ;0.454 ;0.518 ;0.675 ;0.731 ;0.885 ;
21 ; 0.189 ;0.257 ;0.354 ;0.420 ;0.540 ;0.673 ;0.787 ;0.849 ;0.995 ;
22 ; 0.226 ;0.284 ;0.419 ;0.492 ;0.640 ;0.669 ;0.886 ;0.972 ;1.122 ;
23 ; 0.248 ;0.313 ;0.440 ;0.536 ;0.657 ;0.734 ;0.993 ;1.077 ;1.198 ;
24 ; 0.274 ;0.366 ;0.520 ;0.593 ;0.716 ;0.815 ;1.026 ;1.141 ;1.279 ;
25 ; 0.292 ;0.372 ;0.526 ;0.624 ;0.779 ;0.861 ;1.110 ;1.192 ;1.393 ;
26 ; 0.310 ;0.408 ;0.590 ;0.704 ;0.856 ;0.923 ;1.233 ;1.345 ;1.576 ;
27 ; 0.359 ;0.452 ;0.629 ;0.744 ;0.910 ;1.010 ;1.317 ;1.449 ;1.709 ;
28 ; 0.385 ;0.513 ;0.701 ;0.822 ;0.982 ;1.096 ;1.447 ;1.679 ;1.795 ;
29 ; 0.419 ;0.547 ;0.767 ;0.904 ;1.093 ;1.216 ;1.558 ;1.713 ;1.971 ;
30 ; 0.464 ;0.582 ;0.818 ;0.959 ;1.154 ;1.291 ;1.694 ;1.807 ;2.148 ;
